"UID_ANONYM_COVID","coco2_cal_SEXE","coco2_cal_AGE1","coco2_cal_AGE2","coco2_cal_DIPL","coco2_cal_ZEAT","coco2_q04","coco2_q06_1","coco2_q06_2","coco2_q06_3","coco2_q06_4","coco2_q06_5","coco2_q06_6","coco2_q06_7","coco2_q06_8","coco2_q06_9","coco2_q06_10","coco2_q07_1","coco2_q07_2","coco2_q07_3","coco2_q09","coco2_q10","coco2_q16","coco2_q17","coco2_q18","coco2_q19","coco2_q20","coco2_q21","coco2_q25_a","coco2_q38_modifie","coco2_q47","coco2_q51","coco2_q52_1","coco2_q52_2","coco2_q52_3","coco2_q52_4","coco2_q53_1","coco2_q53_2","coco2_q53_3","coco2_q54_1","coco2_q54_2","coco2_q54_3","coco2_q54_4","coco2_q54_5","coco2_q54_6","coco2_q54_7","coco2_q54_8","coco2_q54_bis_1","coco2_q54_bis_2","coco2_q54_bis_3","coco2_q54_bis_4","coco2_q54_bis_5","coco2_q54_bis_6","coco2_q54_bis_7","coco2_q59_1","coco2_q59_2","coco2_q59_3","coco2_q59_4","coco2_q59_5","coco2_q59_6","coco2_q59_7","coco2_q59_8","coco2_q59_9","coco2_q64","coco2_q68","coco2_q79","coco2_q92","coco2_q93_1","coco2_q93_2","coco2_q93_3","coco2_q93_4","coco2_q93_5","coco2_q94","coco2_q95_1","coco2_q95_2","coco2_q95_3","coco2_q95_4","coco2_q95_5","coco2_q95_6","coco2_q96_1","coco2_q96_2","coco2_q96_3","coco2_q96_4","coco2_q96_5","coco2_q96_6","coco2_q96_7","coco2_q96_8","coco2_q96_9","coco2_q97","coco2_q98","coco2_q99_1","coco2_q99_2","coco2_q99_3","coco2_Bloc2_DO_exp1_gpe","coco2_exp1_gpe_a","coco2_exp1_gpe_b","coco2_q100","coco2_q101","coco2_q102","coco2_q103_1","coco2_q103_2","coco2_q103_3","coco2_q104_1","coco2_q104_2","coco2_q104_3","coco2_q105_1","coco2_q105_2","coco2_q105_3","coco2_q106_1","coco2_q106_2","coco2_q106_3","coco2_q107_1","coco2_q107_2","coco2_q107_3","coco2_q107_4","coco2_q107_5","coco2_q107_6","coco2_q107_7","coco2_q107_8","coco2_q108_1_1","coco2_q108_2_1","coco2_q108_3_1","coco2_q108_4_1","coco2_q108_5_1","coco2_q108_6_1","coco2_q108_7_1","coco2_q109_1","coco2_q109_2","coco2_q109_3","coco2_q109_4","coco2_q109_5","coco2_q109_6","coco2_q109_7","coco2_q109_8","coco2_q110_1","coco2_q110_2","coco2_q110_3","coco2_q111_1","coco2_q111_2","coco2_q111_3","coco2_q111_4","coco2_q111_5","coco2_q111_6","coco2_q112_1","coco2_q112_2","coco2_q112_3","coco2_SWB","ea17_SWB","ea18_SWB","ea19_SWB","eayy_A1","eayy_A2A_rec","eayy_A3_rec","eayy_A3B_rec","eayy_A3C_rec","eayy_A3D","eayy_A3E_rec","eayy_A4","eayy_A5","eayy_A5A","eayy_A5C","eayy_A5C_rec","eayy_B1","eayy_B10A","eayy_B10AA","eayy_B10ACJT","eayy_B11","eayy_B11CJT","eayy_B18_rec","eayy_B18C","eayy_B18CCJT","eayy_B18CJT_rec","eayy_B1A","eayy_B1ACJT","eayy_B1B","eayy_B1BCJT","eayy_B1CJT","eayy_B2_rec","eayy_B25","eayy_B2CJT_rec","eayy_B4_rec","eayy_B4CJT_rec","eayy_B5_rec","eayy_B5A","eayy_B5B_rec","eayy_B5C","eayy_B6A_rec","eayy_B6B_rec","eayy_B7B_rec","eayy_B8_rec","eayy_B9_rec","eayy_C1_rec","eayy_C1JEU","eayy_C8","eayy_C8A_rec","eayy_C8B_rec","eayy_D1_rec","eayy_D1A","eayy_D2","eayy_D3","eayy_D4_rec","eayy_D5_rec","eayy_D6","eayy_D7_1","eayy_D7_10","eayy_D7_2","eayy_D7_3","eayy_D7_4","eayy_D7_5","eayy_D7_6","eayy_D7_7","eayy_D7_8","eayy_D7_9","eayy_E1A","eayy_E1B","eayy_E1C","eayy_E1D","eayy_E1E","eayy_E1F","eayy_E1G","eayy_E1H","eayy_E1I","eayy_E1J","eayy_E2A_rec","eayy_E2AUC","eayy_E2AUC_SOURCE","eayy_E3A","eayy_E3B","eayy_E3C","eayy_E3D","eayy_E3E","eayy_E4","eayy_E5","eayy_E5A","eayy_E5B_1","eayy_E5B_2","eayy_E5B_3","eayy_E5B_4","eayy_E5B_5","eayy_E5B_6","eayy_E5B_7","eayy_E5B_8","eayy_E5B_9","eayy_F1_rec","eayy_F3","eayy_F4","eayy_F5","eayy_F6_rec","eayy_F7","eayy_F8","eayy_G1","eayy_G2","eayy_G3A","eayy_G3B","eayy_G3C","eayy_G4","eayy_G5","eayy_G6_1","eayy_G6_2","eayy_G6_3","eayy_G6_4","eayy_H1A","eayy_H2","eayy_H4","eayy_I1","eayy_I8","eayy_J1","eayy_K3","eayy_PCS18","eayy_PCS6","eayy_PCS6CJT","eayy_TYPMEN5","VAGUE","insee_NUTS1","insee_CATAEU2010","insee_TAU2014","insee_TUU2014","coco2_POIDS","coco2_PDSPLT","coco2_cal_NAT","coco2_POIDS_INIT","coco2_PDSPLT_INIT"
486,2,3,3,2,1,3,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,5,4,2,4,4,2,5,4,2,1,5,5,5,4,4,4,5,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,3,8,2,1,1,7,3,6,6,5,2,7,3,1,1,1,2,2,60,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,6666,1,2,5,5,1,4,5,2,1,6666,2,1,2,2,1,2,2,2,1,2,1,2,1,2,6666,6666,1,6666,2,6666,2,1,6,3,3,6,6,5,5,5,4,1,6666,6666,6666,6666,6666,6666,1,5,5,0.649732166522585,0.713305515402333,0.591715980401058,0.710743653865729,2,9,1,1,6,2,6,1,3,6,6,66,7,2,6,6,1,6,7,2,6,66,2,6,2,6,66,4,6,66,6,6,6,6,6,66,66,88,11,6,6,6,4,2,6,6,3,1,5,2,9,4,4,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,6,1,2,1,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,1,1,2,2,4,2,2,1,2,2,2,1,4,2,2,2,1,2,2,3,2,4,5,3,5,55,5,666,2,2019,1,111,10,8,1.4591196064136,"2,1085743803363",1,1.235985644,"1,241443972"
488,1,5,5,3,6,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,4,4,2,4,2,3,2,4,4,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,1,3,7,3,3,4,5,3,1,1,2,2,2,2,1,6666,2,2,1,2,1,2,2,1,2,1,2,2,1,1,2,2,2,1,1,2,2,6666,1,5,5,5,4,5,5,4,6666,6666,2,1,2,1,2,2,2,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,5,5,5,0.731859581158563,0.79292217224937,0.898818121043553,0.887892756039385,1,12,1,1,6,2,6,4,1,1,2,7,6,6,6,6,1,6,10,4,2,7,2,6,2,1,1,4,6,6,6,6,6,6,6,66,66,6,1,6,6,2,1,1,3,1,1,6,66,1,6,5,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1,2,13,10,1,1,1,1,1,1,1,5,2,6,6,6,6,6,6,6,6,6,2,3,4,1,1,1,1,1,3,3,2,2,1,2,2,1,1,2,2,1,1,1,5,1,1,36,3,5,3,2019,6,111,9,7,0.495005714205284,"NA",1,0.852652382,"NA"
491,2,5,5,3,5,2,2,2,1,2,2,2,2,2,2,2,1,2,2,3,6666,4,5,2,4,2,3,6,1,4,5,2,4,4,1,1,6,6,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,4,4,3,7,2,1,1,5,3,5,6666,2,2,2,2,1,6666,2,1,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2,1,2,2,2,6666,1,3,5,3,3,4,1,2,4,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,5,5,5,0.790077342017248,0.528415539190297,0.568835645645398,0.489289909735921,2,12,2,3,6,1,2,5,3,6,6,66,1,6,6,6,6,6,8,3,6,66,6,6,1,6,66,9,6,66,1,6,6,6,6,66,66,66,11,6,6,1,1,1,3,1,3,2,4,2,2,3,3,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,4,2,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,2,4,3,2,2,2,1,1,2,2,2,1,1,1,1,2,3,3,3,46,4,666,1,2019,5,111,7,5,0.375211625163898,"NA",2,0.496993071,"NA"
493,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,4,4,2,4,2,4,2,1,4,1,5,2,4,2,2,3,5,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,4,5,3,9,4,5,7,8,4,2,4,1,1,1,2,2,2,2,60,1,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,1,1,1,1,1,2,6666,5,8,5,3,5,5,3,6666,6666,1,2,2,1,2,2,2,2,1,2,2,2,2,2,6666,6666,2,6666,6666,6666,6666,4,2,4,5,4,3,5,5,5,5,3,6666,6666,6666,6666,6666,6666,2,5,5,0.768190612792307,0.863778104386347,0.882367141784208,0.836627105634558,1,7,3,3,9,2,6,1,1,3,1,1,1,6,6,6,6,6,6,2,1,1,6,6,1,1,1,9,6,6,1,6,6,6,6,66,66,66,4,6,6,3,2,2,6,6,3,1,5,2,2,1,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,2,1,2,2,2,2,2,2,3,2,6,6,6,6,6,6,6,6,6,1,2,4,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,1,3,1,2,3,2,2,66,6,5,4,2019,1,111,10,8,1.13764963159003,"9,63465574955634",3,0.437420209,"1,274300925"
495,1,4,4,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,1,3,6666,5,5,2,5,2,3,1,1,2,5,5,5,5,5,6,6,6,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,4,1,4,1,3,7,2,5,4,9,4,5,1,2,1,2,2,2,6666,1,2,1,2,1,2,2,2,1,1,2,2,2,2,2,1,9999,2,2,9999,2,6666,9999,5,5,5,5,5,5,6666,6666,6666,1,2,2,1,2,2,2,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,5,5,5,0.860499816196252,0.676933938706986,0.556450126413729,9999,1,11,1,9,6,2,6,4,1,1,2,7,1,6,6,6,6,6,6,2,2,6,6,6,1,7,77,6,2,66,6,6,1,1,6,66,1,66,1,3,6,3,1,2,6,6,3,2,4,1,3,1,2,2,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,77,99,3,3,3,3,3,3,2,99,9,6,6,6,6,6,6,6,6,6,7,8,7,2,7,7,7,8,2,1,1,1,3,9,1,2,2,2,1,1,1,3,5,2,3,61,6,666,4,2019,2,120,0,1,1.58507909001351,"NA",1,1.545595262,"NA"
496,2,4,4,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,6666,5,4,2,5,1,3,1,3,2,5,5,5,5,4,5,5,5,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,3,1,1,7,1,7,4,6,5,7,3,5,1,1,1,2,2,2,70,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,3,2,2,2,1,1,6666,5,5,5,2,5,5,1,6666,6666,2,1,2,1,2,2,2,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,5,5,5,0.856114525984939,0.776956665153945,9999,0.636800563428329,2,10,1,1,6,2,6,5,2,3,2,2,1,6,6,6,6,6,7,2,2,6,6,6,1,1,1,4,2,5,6,6,1,1,6,66,66,6,11,6,6,2,1,2,6,6,2,6,66,1,5,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,7,3,1,1,2,2,1,2,2,2,2,6,6,6,6,6,6,6,6,6,2,2,3,2,2,2,2,1,3,2,1,1,4,2,2,2,1,2,2,1,2,4,5,3,5,51,5,6,3,2019,2,111,8,7,0.0526652735169279,"0,716888408393477",1,0.064620083,"0,590031934"
498,1,5,5,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,3,6666,4,2,3,2,3,4,2,4,3,5,5,5,5,3,5,5,5,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,4,1,4,1,1,3,7,9,9,7,2,8,1,1,1,2,2,2,70,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,1,1,2,1,1,6666,5,5,5,2,2,5,2,1,6666,2,1,2,1,2,2,2,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,5,5,5,0.448447923595418,0.317609576739517,0.295479368013888,0.295479368013888,1,12,1,1,6,2,6,2,1,2,2,7,6,6,6,6,1,6,6,2,3,8,2,6,2,1,1,5,6,1,6,6,6,6,6,66,2,66,1,3,6,2,1,1,2,1,1,6,66,1,5,5,2,2,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,11,8,1,1,1,2,2,2,1,4,2,6,6,6,6,6,6,6,6,6,4,1,3,2,3,1,1,2,2,3,2,4,4,2,2,2,2,1,1,3,1,1,5,3,4,61,6,5,3,2019,2,211,2,3,0.976808698969017,"NA",1,1.20708967,"NA"
499,2,4,4,3,5,3,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,3,2,3,3,4,1,6,4,4,5,5,3,5,3,6,6,6,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,3,1,1,1,1,8,6,2,8,9,2,10,6666,1,1,1,1,2,70,1,1,1,2,2,2,2,2,1,1,1,1,2,1,2,2,4,2,2,2,1,2,6666,0,5,5,1,5,5,2,6666,6666,1,2,2,1,2,2,2,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,5,5,5,0.343014627022834,0.0036134338236499,0.131616087419427,0.170840107953748,2,11,1,1,6,2,6,5,3,6,6,66,8,3,6,6,1,6,7,2,6,66,2,6,2,6,66,4,6,66,6,6,6,6,6,66,66,3,5,6,6,1,1,2,6,6,3,2,4,3,3,5,5,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,6,4,1,1,1,1,1,1,2,3,1,2,2,1,2,2,2,2,2,2,3,1,1,2,1,2,2,1,1,2,2,1,2,2,1,2,2,2,1,2,1,3,0,5,5,46,4,666,1,2019,5,120,0,0,0.240078864294753,"NA",1,0.372523155,"NA"
502,1,3,3,3,5,2,2,2,2,2,1,2,2,2,2,2,1,2,2,3,6666,3,9999,4,3,3,3,2,2,3,3,5,3,5,4,3,4,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,4,2,7,2,8,4,3,5,8,2,5,1,2,2,2,2,1,6666,2,2,2,2,2,1,2,1,2,2,2,2,1,1,2,2,1,1,1,2,1,1,6666,5,5,8,3,1,5,2,1,6666,2,1,2,2,2,1,2,1,2,1,2,2,2,2,6666,1,6666,2,6666,6666,6666,4,4,5,3,6,4,5,5,2,2,1,2,4,2,2,3,3,2,1,5,9999,0.41077803528085,0.571677547326054,0.514991512810566,1,8,1,1,6,2,6,2,1,2,2,3,1,6,6,6,6,6,10,4,4,10,6,6,1,1,1,5,2,5,6,6,1,1,6,66,6,66,7,4,6,5,4,2,6,6,2,6,66,1,6,3,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,12,6,1,1,2,1,1,2,2,4,2,6,6,6,6,6,6,6,6,6,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,5,2,4,46,4,5,4,2019,5,112,7,4,0.954637262290653,"NA",1,0.853958623,"NA"
503,1,5,5,4,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,4,4,2,4,3,3,6,4,3,5,5,4,5,4,5,5,5,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,1,3,7,2,2,4,6,1,6,6666,2,2,2,2,1,6666,2,1,1,2,2,2,1,1,2,2,2,2,1,1,2,2,1,1,1,2,1,1,6666,5,5,5,4,2,5,5,4,6666,2,1,2,2,2,1,2,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,5,5,5,0.691865474433946,0.682390423260483,0.673996324510508,0.658876197078866,1,12,1,1,6,2,6,7,2,3,2,4,6,6,6,6,1,6,11,5,6,66,2,6,2,6,66,5,6,66,6,6,6,6,6,66,5,66,8,4,6,1,1,2,6,6,1,6,66,2,3,4,3,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,11,9,1,1,2,1,2,1,1,3,1,2,2,2,2,1,2,2,2,2,1,3,3,2,2,2,2,2,4,5,4,4,4,2,2,2,1,1,1,2,1,2,5,2,1,36,3,666,1,2019,1,111,10,8,0.185277605731555,"0,174914313645752",1,0.25424459,"0,459941527"
504,2,5,5,1,6,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,3,3,3,3,3,3,6,4,1,5,5,5,9999,4,4,5,5,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,9999,9999,9999,9999,9999,9999,9999,2,9999,0,2,0,6666,1,1,1,2,2,9999,1,1,1,2,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,6666,0,9999,0,4,5,5,5,6666,6666,1,2,2,1,2,2,2,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,5,5,5,0.50005019395087,0.515362436959045,0.532130270792239,0.51071009026408,2,12,2,9,6,1,9,4,2,1,2,7,7,3,6,6,1,6,4,1,6,66,2,6,2,6,66,6,6,66,6,6,6,6,6,66,88,66,11,1,6,1,1,2,6,6,1,6,66,1,4,5,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,3,1,2,2,2,2,2,2,2,2,1,4,2,3,2,4,2,2,3,1,1,1,1,1,2,1,2,2,2,2,1,2,3,77,3,5,56,5,666,1,2019,6,400,0,0,3.171381171014,"NA",2,2.389647478,"NA"
506,2,5,5,1,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,3,6666,4,3,3,3,3,3,2,4,1,5,5,4,4,3,1,2,6,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,2,2,1,2,7,3,3,5,1,2,3,1,2,1,2,2,2,6666,1,2,1,2,2,2,1,2,2,1,2,1,1,2,2,3,1,1,1,1,2,6666,1,3,5,5,3,5,5,2,6666,6666,2,1,2,1,2,2,2,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,5,5,5,0.534242024397871,0.292418129577794,0.683784791286669,0.407586611974503,2,12,1,1,6,2,6,4,1,1,2,7,1,6,6,6,6,1,5,1,1,1,6,2,1,2,6,2,2,1,6,6,1,1,6,66,66,5,10,6,6,1,1,1,3,2,1,6,66,1,9,5,1,2,2,2,2,2,2,1,2,1,2,1,2,2,1,2,2,2,2,2,2,11,10,1,1,1,1,1,1,2,4,2,6,6,6,6,6,6,6,6,6,1,2,3,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,1,2,1,3,5,3,5,56,5,5,1,2019,2,112,10,2,1.5786337100776,"NA",1,1.641458739,"NA"
508,2,4,4,3,7,2,2,2,2,2,2,2,2,2,2,1,2,2,1,3,6666,3,5,2,5,2,4,1,1,4,4,5,2,5,3,4,2,3,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,7,2,7,2,2,3,5,2,7,1,1,1,1,2,2,70,2,1,1,2,2,2,1,1,2,2,2,1,1,2,2,2,3,2,2,2,1,2,6666,6,6,5,3,5,5,2,6666,6666,2,1,2,1,2,2,2,2,2,2,2,1,2,2,6666,6666,6666,6666,6666,1,6666,3,3,4,3,6,5,3,5,6666,6666,6666,6666,6666,6666,6666,6666,6666,3,5,4,0.828447186935995,0.377818275340523,0.576398460476108,0.341219404163537,2,10,1,1,6,2,6,1,3,6,6,66,1,6,6,6,6,6,9,3,6,66,6,6,1,6,66,4,2,66,6,6,1,1,6,66,66,5,11,6,6,3,2,2,6,6,2,6,66,2,6,3,4,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,9,3,1,1,1,1,1,2,2,2,2,6,6,6,6,6,6,6,6,6,1,3,3,1,1,2,1,1,4,3,3,2,1,2,2,2,1,2,2,1,1,2,5,2,3,54,5,666,2,2019,7,111,9,7,0.319704540466833,"NA",1,0.379245575,"NA"
513,1,5,5,3,2,3,1,2,1,1,2,2,2,2,2,2,2,2,1,2,1,4,5,2,4,3,3,1,4,2,5,5,4,5,2,1,2,6,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,7,3,1,4,7,3,4,1,2,1,2,2,2,6666,2,1,1,2,1,2,2,1,2,2,2,1,2,1,2,2,2,1,1,1,1,2,6666,5,5,5,4,5,5,2,6666,6666,1,2,2,1,2,2,2,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,5,5,5,0.736244871369876,0.634401286359644,0.464381315528118,0.731466426769448,1,13,1,1,6,2,6,3,2,3,1,1,6,6,6,6,1,6,9,3,6,66,2,6,2,6,66,8,6,66,1,6,6,6,6,66,66,66,11,6,6,1,1,1,1,1,1,6,66,1,7,5,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,11,9,1,1,1,1,2,1,1,4,1,2,2,2,2,2,2,2,2,1,2,2,3,2,3,2,1,2,2,4,2,2,4,2,1,2,2,2,1,1,1,1,7,3,5,20,2,666,1,2019,2,112,10,0,0.425069335119592,"NA",1,0.680572358,"NA"
516,1,2,2,2,5,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,4,5,2,5,2,3,2,4,2,1,5,4,5,3,5,5,5,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,4,1,1,2,3,3,4,4,7,3,5,2,2,2,2,2,1,6666,2,2,2,2,2,1,1,1,2,1,2,1,1,2,2,2,1,1,1,1,2,6666,2,7,5,5,4,5,5,2,6666,6666,1,2,2,1,2,2,1,1,2,2,2,2,2,2,1,1,6666,6666,6666,6666,6666,6,6,4,6,4,6,4,5,1,4,3,2,2,2,2,2,3,3,1,4,0.840146349672006,0.630908965262733,0.641521476578383,0.732163834393888,1,7,1,1,6,2,6,2,1,2,2,5,1,6,6,3,6,1,7,2,4,10,6,2,1,2,7,5,2,5,6,6,1,1,6,66,2,66,1,1,6,4,3,1,2,3,2,6,66,1,5,3,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,9,3,1,1,1,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,2,1,3,2,1,2,2,2,1,1,1,1,1,2,2,2,1,2,1,2,1,3,10,3,5,61,6,5,4,2019,5,112,9,2,3.42181299664211,"NA",1,1.632147745,"NA"
517,1,6,6,4,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,3,4,2,4,3,2,3,4,4,5,5,5,5,4,5,5,5,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,1,3,7,2,1,5,4,2,4,1,2,1,2,2,2,6666,2,1,1,2,2,2,1,1,2,2,2,1,2,1,2,2,3,2,2,2,1,2,6666,3,5,5,1,5,5,1,6666,6666,1,2,2,1,2,2,2,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,5,5,5,0.635180976275955,0.511151276207547,0.575746446247342,0.451202787429606,1,13,1,3,6,2,6,4,1,1,2,6,6,6,6,6,1,6,11,5,5,11,2,6,2,1,1,1,6,1,6,6,6,6,6,66,66,6,9,6,6,4,1,2,6,6,1,6,66,1,6,5,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,12,7,1,1,2,1,2,1,1,4,2,6,6,6,6,6,6,6,6,6,2,1,2,2,3,2,1,2,2,3,2,3,1,2,2,2,1,2,2,1,2,1,4,3,2,41,4,3,4,2019,1,112,10,3,0.0248312291211198,"0,226898871899803",1,0.035905221,"0,555619765"
518,2,4,4,3,3,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,4,4,3,4,4,2,1,3,2,5,5,4,5,5,6,6,6,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,7,1,7,3,1,4,5,2,3,1,1,1,2,2,2,75,1,1,1,2,1,2,1,1,2,2,2,2,1,1,2,2,3,2,2,2,2,6666,1,4,8,5,1,5,5,2,6666,6666,1,2,2,1,2,2,2,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,5,5,5,0.580042018475707,0.488963424668953,0.442305681877581,0.370959643895689,2,10,1,1,6,2,6,1,3,6,6,66,1,6,6,6,6,6,10,4,6,66,6,6,1,6,66,1,2,66,6,6,2,1,6,66,66,5,6,6,6,1,1,2,6,6,2,6,66,1,4,3,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,77,99,3,1,1,1,1,2,2,3,2,6,6,6,6,6,6,6,6,6,3,2,2,2,3,2,1,2,2,2,1,2,3,2,1,2,2,2,2,1,2,2,5,3,5,41,4,666,1,2019,3,112,9,3,0.294793280714304,"NA",3,0.555614858,"NA"
519,2,3,3,3,6,1,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,4,5,2,4,3,3,2,4,2,1,5,4,5,2,5,5,5,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,9,1,1,2,7,2,2,3,3,2,8,2,2,2,2,2,1,6666,2,1,1,2,1,2,2,1,2,1,1,1,1,1,2,1,4,2,2,2,2,6666,1,3,7,3,2,5,5,2,6666,6666,1,2,2,1,2,2,2,1,2,2,2,2,2,2,6666,1,6666,6666,6666,6666,6666,6,6,4,4,4,3,5,4,4,4,4,6666,6666,6666,6666,6666,6666,1,1,4,0.763921599215385,0.822235014259243,0.579330461169389,0.546768953118251,2,7,1,1,6,2,6,3,1,3,2,4,1,6,6,6,6,6,10,4,5,11,6,6,1,1,1,6,2,1,6,6,1,1,6,66,3,66,10,1,6,3,2,1,1,2,3,2,4,2,4,4,5,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,1,2,12,9,1,1,2,1,2,2,2,3,2,6,6,6,6,6,6,6,6,6,3,2,3,2,3,2,2,2,2,2,2,1,4,2,2,2,1,1,1,2,1,3,6,2,3,56,5,5,4,2019,6,111,9,7,0.96360480610339,"NA",1,1.195559888,"NA"
