"UID_ANONYM_COVID","coco3_cal_AGE1","coco3_cal_AGE2","coco3_cal_DIPL","coco3_cal_SEXE","coco3_cal_ZEAT","coco3_q04","coco3_q06_1","coco3_q06_10","coco3_q06_2","coco3_q06_3","coco3_q06_4","coco3_q06_5","coco3_q06_6","coco3_q06_7","coco3_q06_8","coco3_q06_9","coco3_q07_1","coco3_q07_2","coco3_q07_3","coco3_q09","coco3_q10","coco3_q16","coco3_q17","coco3_q18","coco3_q19","coco3_q20","coco3_q21","coco3_q25_a","coco3_q37","coco3_q38_modifie_bis","coco3_q41_1","coco3_q41_2","coco3_q41_3","coco3_q41_4","coco3_q41_5","coco3_q41_6","coco3_q46_modifie_1","coco3_q46_modifie_2","coco3_q46_modifie_3","coco3_q46_modifie_4","coco3_q47","coco3_q51","coco3_q52_1","coco3_q52_2","coco3_q52_3","coco3_q52_4","coco3_q53_1","coco3_q53_2","coco3_q53_3","coco3_q54_1","coco3_q54_2","coco3_q54_3","coco3_q54_4","coco3_q54_5","coco3_q54_6","coco3_q54_7","coco3_q54_8","coco3_q54_bis_1","coco3_q54_bis_2","coco3_q54_bis_3","coco3_q54_bis_4","coco3_q54_bis_5","coco3_q54_bis_6","coco3_q54_bis_7","coco3_q59_1","coco3_q59_2","coco3_q59_3","coco3_q59_4","coco3_q59_5","coco3_q59_6","coco3_q59_7","coco3_q59_8","coco3_q59_9","coco3_q60_3","coco3_q60_5","coco3_q60_6","coco3_q64","coco3_q68","coco3_q79","coco3_q113","coco3_q114","coco3_q115","coco3_q116_1","coco3_q116_2","coco3_q116_3","coco3_q116_4","coco3_q116_5","coco3_q116_6","coco3_q117","coco3_q118_1","coco3_q118_2","coco3_q118_3","coco3_q118_4","coco3_q118_5","coco3_q118_6","coco3_q119","coco3_q120_1","coco3_q120_2","coco3_q120_3","coco3_q120_4","coco3_q120_5","coco3_q120_6","coco3_q120_7","coco3_q120_8","coco3_q121_1","coco3_q121_10","coco3_q121_2","coco3_q121_3","coco3_q121_4","coco3_q121_5","coco3_q121_6","coco3_q121_7","coco3_q121_8","coco3_q121_9","coco3_q122_1","coco3_q122_2","coco3_q122_3","coco3_q122_4","coco3_q122_5","coco3_q122_6","coco3_q122_7","coco3_q122_8","coco3_q122_9","coco3_q122_10","coco3_q122_11","coco3_q123","coco3_q124","coco3_q125_1","coco3_q125_2","coco3_q125_3","coco3_q125_4","coco3_q125_5","coco3_q126_1","coco3_q126_2","coco3_q126_3","coco3_q126_4","coco3_q126_5","coco3_q126_6","coco3_q127_1","coco3_q127_2","coco3_q127_3","coco3_q127_4","coco3_q127_5","coco3_q127_6","coco3_q128","coco3_q129","coco3_q130","coco3_q131","coco3_q132_1","coco3_q132_2","coco3_q132_3","coco3_q132_4","coco3_q132_5","coco3_q132_6","coco3_q132_7","coco3_q133","coco3_q134","coco3_q135_1","coco3_q135_2","coco3_q135_3","coco3_q136_1","coco3_q136_2","coco3_q136_3","coco3_q137_1","coco3_q137_2","coco3_q137_3","coco3_q138_1","coco3_q138_2","coco3_q138_3","coco3_q139_1","coco3_q139_2","coco3_q139_3","coco3_q140_1","coco3_q140_2","coco3_q140_3","coco3_SWB","ea17_SWB","ea18_SWB","ea19_SWB","eayy_A1","eayy_A2A_rec","eayy_A3_rec","eayy_A3B_rec","eayy_A3C_rec","eayy_A3D","eayy_A3E_rec","eayy_A4","eayy_A5","eayy_A5A","eayy_A5C","eayy_A5C_rec","eayy_B1","eayy_B10A","eayy_B10AA","eayy_B10ACJT","eayy_B11","eayy_B11CJT","eayy_B18_rec","eayy_B18C","eayy_B18CCJT","eayy_B18CJT_rec","eayy_B1A","eayy_B1ACJT","eayy_B1B","eayy_B1BCJT","eayy_B1CJT","eayy_B2_rec","eayy_B25","eayy_B2CJT_rec","eayy_B4_rec","eayy_B4CJT_rec","eayy_B5_rec","eayy_B5A","eayy_B5B_rec","eayy_B5C","eayy_B6A_rec","eayy_B6B_rec","eayy_B7B_rec","eayy_B8_rec","eayy_B9_rec","eayy_C1_rec","eayy_C1JEU","eayy_C8","eayy_C8A_rec","eayy_C8B_rec","eayy_D1_rec","eayy_D1A","eayy_D2","eayy_D3","eayy_D4_rec","eayy_D5_rec","eayy_D6","eayy_D7_1","eayy_D7_10","eayy_D7_2","eayy_D7_3","eayy_D7_4","eayy_D7_5","eayy_D7_6","eayy_D7_7","eayy_D7_8","eayy_D7_9","eayy_E1A","eayy_E1B","eayy_E1C","eayy_E1D","eayy_E1E","eayy_E1F","eayy_E1G","eayy_E1H","eayy_E1I","eayy_E1J","eayy_E2A_rec","eayy_E2AUC","eayy_E2AUC_SOURCE","eayy_E3A","eayy_E3B","eayy_E3C","eayy_E3D","eayy_E3E","eayy_E4","eayy_E5","eayy_E5A","eayy_E5B_1","eayy_E5B_2","eayy_E5B_3","eayy_E5B_4","eayy_E5B_5","eayy_E5B_6","eayy_E5B_7","eayy_E5B_8","eayy_E5B_9","eayy_F1_rec","eayy_F3","eayy_F4","eayy_F5","eayy_F6_rec","eayy_F7","eayy_F8","eayy_G1","eayy_G2","eayy_G3A","eayy_G3B","eayy_G3C","eayy_G4","eayy_G5","eayy_G6_1","eayy_G6_2","eayy_G6_3","eayy_G6_4","eayy_H1A","eayy_H2","eayy_H4","eayy_I1","eayy_I8","eayy_J1","eayy_K3","eayy_PCS18","eayy_PCS6","eayy_PCS6CJT","eayy_TYPMEN5","VAGUE","insee_NUTS1","insee_CATAEU2010","insee_TAU2014","insee_TUU2014","coco3_POIDS","coco3_PDSPLT","coco3_cal_NAT","coco3_POIDS_INIT","coco3_PDSPLT_INIT"
417,6,6,3,2,7,1,2,1,2,2,2,2,2,2,2,2,1,2,2,3,6666,3,4,2,4,2,4,2,0,6666,6666,6666,6666,6666,6666,6666,1,2,2,2,4,5,5,5,5,2,6,6,6,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,3,1,2,1,3,8,3,2,4,2,2,2,10,3,10,1,3,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,1,2,2,2,1,2,2,2,2,4,1,1,4,4,1,4,4,4,4,6666,1,6666,6666,1,6666,6666,6666,6666,1,2,1,2,3,3,2,1,1,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6,6,6666,5,1,2,2,2,2,2,2,0,6666,1,4,4,2,3,4,1,4,4,2,4,3,1,4,3,3,2,3,0.746682155443493,0.814439513248805,0.656641604010025,0.704323239492804,2,13,1,1,6,2,6,4,1,1,2,7,1,6,6,6,6,6,10,4,5,11,6,6,1,1,1,5,2,9,6,2,1,2,5,5,6,66,10,1,6,1,1,1,3,1,1,6,66,1,9,5,1,2,1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,1,2,13,10,2,1,1,1,1,1,2,6,2,6,6,6,6,6,6,6,6,6,1,2,3,2,2,1,2,1,2,2,3,2,1,2,2,2,2,1,1,4,1,2,7,2,3,41,4,3,1,2019,7,111,6,5,0.422840590282502,"NA",1,0.746379455,"NA"
418,3,3,4,2,5,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,6666,3,4,3,4,3,3,3,6,3,6666,6666,6666,6666,6666,6666,1,2,2,2,2,1,5,3,5,3,6,6,6,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,4,1,6,2,7,2,2,3,3,4,4,7,2,2,1,4,1,1,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,1,2,2,1,2,1,2,1,2,4,1,2,3,1,4,2,1,1,1,6666,2,2,1,6666,2,1,2,2,2,2,2,1,1,2,1,1,3,2,2,2,2,2,1,2,2,2,2,1,2,1,5,7,3,2,1,2,2,2,2,2,6,3,2,3,4,2,3,4,2,3,4,4,4,4,2,3,4,2,3,4,0.627012096652168,0.772020743912214,0.537871847566226,9999,2,8,1,1,6,2,6,4,1,1,2,3,1,6,6,6,6,6,10,4,5,11,6,6,1,1,1,5,2,5,6,6,1,1,6,66,6,66,11,4,6,4,3,1,2,3,2,6,66,1,5,3,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,12,7,1,1,2,1,2,2,2,3,2,6,6,6,6,6,6,6,6,6,2,4,3,2,1,1,1,1,2,3,2,2,1,2,2,2,1,2,2,1,2,4,5,2,2,54,5,4,4,2018,5,111,7,5,0.447581751201791,"NA",1,0.479367734,"NA"
421,3,3,3,2,8,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,3,4,2,5,2,3,1,4,4,6666,6666,6666,6666,6666,6666,1,2,2,2,2,1,5,5,4,3,5,5,5,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,4,6,1,1,2,7,2,4,6,3,4,4,3,3,2,1,3,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,6666,6666,4,4,4,4,4,4,4,4,1,4,6666,6666,6666,6666,6666,6666,6666,2,6666,6666,1,3,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,3,5,4,1,1,1,1,1,2,2,6,3,1,3,4,1,3,4,1,4,4,1,4,4,1,4,4,3,2,2,0.759765082299602,0.784103722421114,0.697660727009621,0.537871847566226,2,7,1,1,6,2,6,4,1,1,2,4,1,6,6,1,6,6,10,4,5,11,6,2,1,2,3,5,2,5,6,6,1,1,6,66,6,66,5,1,6,4,3,1,2,3,1,6,66,1,4,4,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,1,2,12,7,1,1,2,2,2,2,1,3,2,6,6,6,6,6,6,6,6,6,3,2,3,2,1,2,2,1,1,2,1,2,1,2,2,1,2,2,1,2,1,3,7,2,3,54,5,4,4,2019,8,211,1,3,0.0533138495717231,"0,863080778245927",1,0.053527494,"0,491557736"
422,6,6,3,2,5,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,6666,3,4,4,3,3,4,2,0,6666,6666,6666,6666,6666,6666,6666,1,2,2,2,2,5,5,2,5,1,6,6,5,9999,9999,9999,9999,9999,9999,9999,9999,2,2,2,2,2,2,1,3,1,1,1,2,7,3,2,4,2,4,3,6,3,4,2,4,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,6666,6666,4,4,4,4,4,4,4,4,4,4,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,1,1,3,2,1,2,3,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6,6,6666,5,2,2,1,2,2,2,2,0,6666,1,4,4,3,3,4,1,4,4,1,4,4,2,2,4,2,2,4,0.553766413839208,0.432427485326178,0.601448049321988,0.669275411360454,2,14,1,1,6,2,6,4,1,1,2,7,6,6,6,6,1,1,8,3,3,9,2,2,2,2,6,1,6,5,6,6,6,6,6,66,66,6,9,6,6,2,1,1,2,1,1,6,66,1,7,5,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,12,10,1,1,2,1,1,1,2,5,2,6,6,6,6,6,6,6,6,6,2,2,3,2,2,2,1,2,4,1,2,3,1,2,2,2,2,1,1,2,2,1,7,3,3,41,4,3,3,2019,5,221,1,2,0.0524982072961011,"0,751166853143086",1,0.111117618,"1,180914733"
423,5,5,3,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2,1,3,6666,3,4,3,4,3,3,1,2,4,6666,6666,6666,6666,6666,6666,1,2,2,2,2,5,3,2,4,1,1,1,3,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,3,3,1,1,2,7,4,5,3,3,2,3,6,3,1,4,3,1,1,2,2,2,2,2,1,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,4,1,4,3,4,4,3,4,2,4,6666,6666,1,6666,6666,2,6666,1,6666,1,2,2,1,2,2,2,2,3,2,2,2,2,2,1,2,2,2,2,2,1,2,3,5,5,1,2,2,2,2,2,2,8,6666,1,6666,3,1,6666,3,1,6666,4,1,6666,4,1,6666,3,1,6666,4,0.627012096652168,0.428066630487087,0.188987837321074,9999,2,11,1,3,6,2,6,5,2,3,2,5,1,6,6,6,6,6,10,4,6,66,6,6,1,6,66,3,2,66,6,6,1,1,6,66,66,4,10,6,6,2,1,1,2,2,3,1,5,2,3,2,3,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,9,5,1,1,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,3,3,2,1,2,2,2,3,2,2,2,2,1,1,2,2,2,1,4,1,3,5,8,1,51,5,666,2,2019,3,111,9,7,0.0236474180880486,"0,0678213828743041",1,0.047106025,"0,33227877"
424,6,6,4,1,8,9999,2,1,2,2,2,2,2,2,2,2,1,2,2,9999,6666,5,5,2,4,1,3,1,0,6666,6666,6666,6666,6666,6666,6666,1,2,2,2,4,5,4,5,2,5,3,5,5,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,1,1,1,3,7,2,2,2,2,3,4,5,3,9,1,1,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,6666,6666,4,4,4,4,4,4,4,4,1,4,6666,6666,6666,6666,6666,6666,6666,1,6666,6666,2,2,1,2,2,2,2,3,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6,6,6666,5,9999,9999,9999,9999,9999,9999,9999,0,6666,3,2,4,3,2,4,4,2,4,4,2,4,3,2,4,2,3,4,9999,0.645369335589909,0.556450126413729,0.749518554894371,1,14,1,1,6,2,6,4,1,1,2,7,6,6,6,6,1,1,11,5,5,11,2,2,2,2,6,5,6,3,6,6,6,6,6,66,5,66,7,3,6,1,1,1,3,1,1,6,66,1,8,3,1,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,12,10,1,1,1,2,2,1,1,4,2,6,6,6,6,6,6,6,6,6,1,2,3,1,1,2,1,1,4,1,2,3,2,2,2,2,2,1,1,3,1,3,8,3,1,36,3,4,1,2019,8,111,9,7,0.62642779584379,"NA",1,0.892771966,"NA"
426,4,4,3,2,7,2,2,1,2,2,2,2,2,2,2,2,2,2,1,3,6666,4,3,3,3,3,2,3,6,3,6666,6666,6666,6666,6666,6666,1,2,2,2,2,1,5,4,5,4,3,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,8,1,2,3,2,1,4,3,3,8,2,5,5,3,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,6666,6666,4,4,4,2,1,4,4,3,2,4,6666,6666,2,2,6666,6666,2,2,6666,6666,1,1,1,4,3,3,2,4,2,2,2,2,2,1,2,2,1,2,2,2,1,5,8,3,1,1,1,2,1,2,2,8,6666,1,6666,4,1,6666,4,1,6666,4,1,6666,4,1,6666,4,4,6666,4,0.53502994588557,0.400073217172573,9999,0.696867718142777,2,10,2,1,6,2,6,5,3,6,6,66,1,6,6,6,6,6,9,3,6,66,6,6,1,6,66,5,1,66,6,6,1,1,6,66,4,66,6,3,6,2,1,1,3,2,2,6,66,2,4,2,5,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,1,9,5,1,2,1,1,2,2,2,2,2,6,6,6,6,6,6,6,6,6,2,2,2,2,3,8,2,1,1,2,1,1,5,2,1,2,2,2,1,3,1,4,5,4,5,46,4,666,2,2019,7,111,8,6,0.439681638738664,"NA",1,0.536616015,"NA"
429,3,3,3,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,4,4,3,2,4,3,1,1,3,6666,6666,6666,6666,6666,6666,1,2,2,2,2,5,5,4,5,4,3,4,5,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,2,6,3,5,2,3,5,3,1,1,8,1,5,3,4,2,6666,6666,6666,6666,6666,6666,1,1,1,2,1,2,2,1,2,2,1,2,2,2,1,2,4,2,1,4,3,1,4,4,1,1,6666,1,6666,1,1,6666,6666,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,7,3,1,2,2,2,2,2,2,4,6666,1,4,4,1,4,4,1,4,4,1,4,4,1,3,4,2,1,4,0.539301739529944,0.814439513248805,0.458154854754889,0.361942177067256,2,9,1,1,6,2,6,4,1,1,2,4,1,6,6,6,6,6,8,3,3,9,6,6,1,1,1,1,1,5,6,6,2,1,6,66,66,5,5,6,6,1,1,2,6,6,2,6,66,1,8,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,13,10,1,1,2,2,2,2,2,4,2,6,6,6,6,6,6,6,6,6,3,1,4,2,3,1,2,2,3,2,2,2,1,1,2,2,1,2,1,3,1,2,8,2,1,46,4,4,1,2019,2,221,1,1,0.447503329090183,"0,306581223882393",1,0.466196678,"0,375443208"
430,4,4,2,1,4,3,1,2,2,2,2,2,2,2,2,2,1,2,2,3,6666,4,4,2,4,2,3,6,5,4,6666,6666,6666,6666,6666,6666,2,2,2,1,2,5,5,5,3,5,6,6,6,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,1,2,1,4,1,2,1,6,4,4,4,5,3,8,3,3,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,6666,6666,4,4,4,4,4,4,4,4,1,4,6666,6666,6666,6666,6666,6666,6666,2,6666,6666,1,4,1,2,2,2,3,4,2,2,2,2,2,1,2,2,2,2,2,1,6,6,6666,5,1,2,2,2,2,2,2,8,6666,1,6666,4,1,6666,2,1,6666,4,2,6666,4,1,6666,4,1,6666,4,0.731466426769448,0.707133454742278,0.425638740099425,0.60761054667404,1,9,1,1,6,2,6,5,3,6,6,66,3,2,6,6,6,6,6,2,6,66,2,6,2,6,66,5,6,66,6,6,6,6,6,66,2,66,1,1,6,1,1,1,3,1,3,2,4,2,4,4,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,3,2,1,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,2,2,3,2,3,2,2,3,1,1,1,1,1,2,1,2,2,2,1,1,1,3,9,3,4,61,6,666,1,2019,4,120,0,0,0.942976690678078,"NA",1,0.93133123,"NA"
431,4,4,3,1,7,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,6666,4,5,2,4,2,3,1,2,6666,6666,6666,6666,6666,6666,6666,1,2,2,2,4,5,5,1,5,1,6,6,4,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,1,2,8,2,2,5,2,3,3,9,2,5,2,4,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,6666,6666,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,3,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,1,5,6666,4,2,2,1,2,2,2,2,8,6666,2,6666,9999,2,6666,4,2,6666,4,3,6666,4,2,6666,4,2,6666,4,0.800086797674758,0.734534123563989,0.74464495486796,0.786908269576246,1,11,1,1,6,2,6,1,2,3,2,5,1,6,6,6,6,6,8,3,6,66,6,6,1,6,66,9,6,66,1,6,6,6,6,66,66,66,9,6,6,1,1,2,6,6,1,6,66,2,3,5,5,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,77,99,3,1,2,1,2,2,2,4,2,6,6,6,6,6,6,6,6,6,4,3,3,2,3,2,1,1,2,1,1,1,3,1,2,1,1,1,1,1,2,3,6,3,1,41,4,666,1,2019,7,400,0,0,0.639035280033061,"NA",1,0.617752837,"NA"
432,6,6,2,2,6,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,6666,4,5,2,4,2,4,1,0,6666,6666,6666,6666,6666,6666,6666,1,2,2,2,3,5,5,5,5,4,6,6,5,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,4,1,1,1,4,7,4,1,6,2,4,4,3,2,3,4,2,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,6666,6666,4,1,4,4,4,4,4,4,4,4,6666,6666,6666,6666,6666,6666,6666,6666,6666,1,2,3,1,4,4,3,3,4,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6,6,6666,5,1,2,1,2,1,2,2,0,6666,1,3,4,3,3,4,1,3,4,1,4,4,3,2,4,3,3,4,0.821506978202917,0.84829030036916,0.847768433157537,0.847768433157537,2,14,1,1,6,2,6,4,1,1,2,7,6,6,6,6,1,1,6,2,3,9,2,2,2,2,6,4,6,4,6,6,6,6,6,66,66,2,5,6,6,2,1,1,2,1,1,6,66,1,7,5,1,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,1,2,10,6,1,1,1,1,2,1,2,4,2,6,6,6,6,6,6,6,6,6,1,2,3,1,1,2,1,2,5,1,1,1,1,2,2,1,2,2,1,1,1,2,4,2,1,46,4,4,3,2019,6,112,6,0,0.178918465386009,"1,27484824357072",1,0.327136056,"1,522813141"
434,4,4,3,2,5,3,2,2,2,1,2,1,2,1,2,1,2,1,2,3,6666,2,3,3,3,3,3,3,5,4,6666,6666,6666,6666,6666,6666,1,2,2,2,3,3,5,5,5,5,4,4,6,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,3,3,3,1,1,8,2,2,5,2,4,3,8,3,5,2,2,2,6666,6666,6666,6666,6666,6666,1,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,4,2,4,4,4,4,4,4,4,4,6666,6666,6666,6666,6666,6666,6666,6666,6666,1,2,2,2,3,3,2,2,3,2,2,2,2,2,1,2,2,2,2,2,1,6,6,6666,5,1,2,2,2,2,1,2,8,6666,2,6666,3,1,6666,4,1,6666,4,1,6666,4,1,6666,4,1,6666,4,0.478148582212942,0.435217460007622,0.456728401684783,0.409046766202003,2,10,1,1,6,2,6,5,2,4,2,4,3,2,6,6,6,6,9,3,6,66,2,6,2,6,66,2,6,66,6,6,6,6,6,66,66,5,10,6,6,2,2,1,3,2,3,1,5,3,4,2,1,2,2,1,1,2,2,1,1,1,2,2,2,1,2,2,2,2,1,2,1,3,1,1,2,2,2,2,2,2,3,1,2,2,2,2,2,2,2,2,1,3,2,2,2,3,1,2,2,3,2,1,1,2,2,2,2,2,1,2,2,1,2,5,3,2,51,5,666,2,2019,5,400,0,0,0.206804298508154,"NA",1,0.30264974,"NA"
436,5,5,2,1,5,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,6666,5,5,2,4,2,3,2,0,6666,6666,6666,6666,6666,6666,6666,1,2,2,2,3,2,5,4,4,5,6,6,6,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,7,2,1,5,3,4,4,3,4,7,3,3,1,1,2,2,2,1,2,2,6666,6666,6666,6666,6666,6666,1,2,2,1,2,1,2,1,2,4,3,4,4,4,4,4,4,1,4,6666,6666,6666,6666,6666,6666,6666,1,6666,1,2,2,1,2,2,2,2,3,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6,6,6666,5,1,2,1,2,1,2,2,2,6666,3,3,2,2,4,2,3,3,3,4,4,3,3,3,3,2,3,3,0.832648305725895,0.826747005353291,0.901750121736834,0.880329941208675,1,12,1,3,6,2,6,4,1,1,2,7,6,6,6,6,1,6,5,1,1,5,2,6,2,1,1,4,6,2,6,6,6,6,6,66,66,3,1,6,6,3,1,2,6,6,1,6,66,1,5,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,1,2,11,5,1,1,1,1,2,2,2,4,2,6,6,6,6,6,6,6,6,6,1,8,3,1,1,1,1,2,2,4,2,2,1,2,2,1,1,2,1,1,1,1,1,2,3,46,4,5,4,2019,5,211,3,4,0.812078431916209,"NA",1,1.095151213,"NA"
437,4,4,4,1,4,1,2,2,2,2,1,1,2,2,2,2,1,2,2,3,6666,4,5,2,4,2,3,3,1,4,6666,6666,6666,6666,6666,6666,1,2,2,2,2,2,5,4,5,4,2,2,4,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,3,8,3,3,4,2,4,2,2,2,8,1,1,2,6666,6666,6666,6666,6666,6666,1,1,1,1,2,2,2,1,1,2,1,1,2,2,2,2,4,1,1,4,1,4,3,3,1,4,6666,1,6666,2,6666,1,2,1,6666,1,2,2,1,3,2,2,2,3,2,2,2,2,2,1,2,1,2,2,2,2,1,5,7,3,1,1,2,2,2,1,2,1,6666,3,1,3,3,1,4,2,2,4,4,1,4,3,2,4,1,3,4,0.813265325773269,0.763953269711614,0.725261974915334,0.813265325773269,1,10,1,1,6,2,6,4,1,1,2,6,1,6,6,6,6,6,11,5,5,11,6,6,1,1,1,4,1,1,6,6,1,1,6,66,66,6,8,6,6,5,4,2,6,6,1,6,66,1,7,4,2,2,2,2,2,2,1,1,1,1,2,1,2,2,2,2,1,2,2,2,2,13,8,1,1,1,1,2,1,2,5,2,6,6,6,6,6,6,6,6,6,3,3,3,1,3,1,1,1,1,3,9,9,1,1,2,2,1,2,1,2,1,4,7,1,1,36,3,4,4,2019,4,111,7,6,0.0304510292000029,"0,290660126896294",1,0.035905221,"0,449749275"
438,4,4,4,1,3,2,2,2,1,2,2,2,2,2,2,2,1,2,2,3,6666,4,4,2,3,3,3,2,5,4,6666,6666,6666,6666,6666,6666,1,2,2,2,4,2,5,4,5,2,2,4,6,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,1,2,7,2,3,6,2,4,3,6,2,4,2,3,2,6666,6666,6666,6666,6666,6666,1,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,4,3,1,3,3,3,3,4,2,3,6666,2,2,2,2,2,6666,2,2,2,1,3,1,3,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,6,6,6666,5,1,1,2,2,2,1,2,6,3,2,3,4,1,3,4,3,1,4,4,1,4,3,1,3,2,2,4,0.658876197078866,0.68123860003618,0.63387200162866,0.693379304463134,1,9,1,1,6,2,6,4,1,1,2,6,3,2,6,6,6,6,11,5,5,11,2,6,2,1,1,5,6,5,6,6,6,6,6,66,5,66,11,4,6,4,3,2,6,6,1,6,66,1,7,4,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,77,99,3,1,1,1,2,1,2,3,2,6,6,6,6,6,6,6,6,6,3,2,3,2,2,2,2,2,2,3,3,2,2,2,2,2,1,1,2,1,1,2,7,3,2,36,3,3,4,2019,3,112,9,3,0.364079928996943,"NA",3,0.506015532,"NA"
