"UID_ANONYM_COVID","coco4_cal_AGE1","coco4_cal_AGE2","coco4_cal_DIPL","coco4_cal_SEXE","coco4_cal_ZEAT","coco4_q04","coco4_q05_c","coco4_q06_1","coco4_q06_2","coco4_q06_3","coco4_q06_4","coco4_q06_5","coco4_q06_6","coco4_q06_7","coco4_q06_8","coco4_q06_9","coco4_q06_10","coco4_q07_1","coco4_q07_2","coco4_q07_3","coco4_q09","coco4_q10","coco4_q16","coco4_q17","coco4_q18","coco4_q19","coco4_q20","coco4_q21","coco4_q25_a","coco4_q38_modifie","coco4_q62_modifie","coco4_q63_modifie","coco4_q64_modifie","coco4_q68","coco4_q79","coco4_q125_modifie_1","coco4_q125_modifie_2","coco4_q125_modifie_3","coco4_q125_modifie_4","coco4_q125_modifie_5","coco4_q141","coco4_q142_1","coco4_q142_2","coco4_q142_3","coco4_q142_4","coco4_q143_1","coco4_q143_2","coco4_q143_3","coco4_q143_4","coco4_q143_5","coco4_q143_6","coco4_q143_7","coco4_q143_8","coco4_q143_9","coco4_q144","coco4_q145","coco4_experience_1_DO","coco4_q146","coco4_q147","coco4_q148","coco4_q149","coco4_q150_1","coco4_q150_2","coco4_q150_3","coco4_q150_4","coco4_q150_5","coco4_q150_6","coco4_q150_7","coco4_q151_1_c","coco4_q151_2_c","coco4_q151_3_c","coco4_q151_4_c","coco4_q151_5_c","coco4_q151_6_c","coco4_q152","coco4_q153_1","coco4_q153_2","coco4_q153_3","coco4_q153_4","coco4_q153_5","coco4_q153_6","coco4_q154_1","coco4_q154_2","coco4_q154_3","coco4_q154_4","coco4_q154_5","coco4_q155_1","coco4_q155_2","coco4_q155_3","coco4_q155_4","coco4_q155_5","coco4_q155_6","coco4_q155_7","coco4_q155_8","coco4_q155_9","coco4_q155_10","coco4_SWB","ea17_SWB","ea18_SWB","ea19_SWB","eayy_A1","eayy_A2A_rec","eayy_A3_rec","eayy_A3B_rec","eayy_A3C_rec","eayy_A3D","eayy_A3E_rec","eayy_A4","eayy_A5","eayy_A5A","eayy_A5C","eayy_A5C_rec","eayy_B1","eayy_B10A","eayy_B10AA","eayy_B10ACJT","eayy_B11","eayy_B11CJT","eayy_B18_rec","eayy_B18C","eayy_B18CCJT","eayy_B18CJT_rec","eayy_B1A","eayy_B1ACJT","eayy_B1B","eayy_B1BCJT","eayy_B1CJT","eayy_B2_rec","eayy_B25","eayy_B2CJT_rec","eayy_B4_rec","eayy_B4CJT_rec","eayy_B5_rec","eayy_B5A","eayy_B5B_rec","eayy_B5C","eayy_B6A_rec","eayy_B6B_rec","eayy_B7B_rec","eayy_B8_rec","eayy_B9_rec","eayy_C1_rec","eayy_C1JEU","eayy_C8","eayy_C8A_rec","eayy_C8B_rec","eayy_D1_rec","eayy_D1A","eayy_D2","eayy_D3","eayy_D4_rec","eayy_D5_rec","eayy_D6","eayy_D7_1","eayy_D7_10","eayy_D7_2","eayy_D7_3","eayy_D7_4","eayy_D7_5","eayy_D7_6","eayy_D7_7","eayy_D7_8","eayy_D7_9","eayy_E1A","eayy_E1B","eayy_E1C","eayy_E1D","eayy_E1E","eayy_E1F","eayy_E1G","eayy_E1H","eayy_E1I","eayy_E1J","eayy_E2A_rec","eayy_E2AUC","eayy_E2AUC_SOURCE","eayy_E3A","eayy_E3B","eayy_E3C","eayy_E3D","eayy_E3E","eayy_E4","eayy_E5","eayy_E5A","eayy_E5B_1","eayy_E5B_2","eayy_E5B_3","eayy_E5B_4","eayy_E5B_5","eayy_E5B_6","eayy_E5B_7","eayy_E5B_8","eayy_E5B_9","eayy_F1_rec","eayy_F3","eayy_F4","eayy_F5","eayy_F6_rec","eayy_F7","eayy_F8","eayy_G1","eayy_G2","eayy_G3A","eayy_G3B","eayy_G3C","eayy_G4","eayy_G5","eayy_G6_1","eayy_G6_2","eayy_G6_3","eayy_G6_4","eayy_H1A","eayy_H2","eayy_H4","eayy_I1","eayy_I8","eayy_J1","eayy_K3","eayy_PCS18","eayy_PCS6","eayy_PCS6CJT","eayy_TYPMEN5","VAGUE","insee_NUTS1","insee_CATAEU2010","insee_TAU2014","insee_TUU2014","POIDS_coco4","PDSPLT_coco4","coco4_cal_NAT","POIDS_INIT_coco4","PDSPLT_INIT_coco4"
451,4,4,3,1,2,2,8888,1,2,2,2,2,2,2,2,2,2,1,2,2,3,6666,5,5,2,5,2,3,2,1,4,3,6,2,0,3,3,2,2,2,2,1,1,2,2,2,1,2,3,3,3,4,3,3,2,2,2,6666,1,6666,2,3,5,3,4,3,3,4,1300,1300,1500,1600,2000,1300,2,3,3,3,3,3,3,3,3,3,3,3,5,2,6,2,5,5,6,2,5,2,0.880329941208675,0.617987972077373,0.815206925106399,0.815206925106399,1,11,1,1,6,2,6,4,1,1,2,7,1,6,6,6,6,6,10,4,3,8,6,6,1,1,1,1,2,2,6,6,1,1,6,66,66,5,11,6,6,1,1,1,2,1,1,6,66,1,6,5,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,12,10,1,1,1,1,1,2,2,6,2,6,6,6,6,6,6,6,6,6,1,3,3,2,2,1,1,2,4,2,1,2,1,2,2,1,1,1,1,1,1,3,3,2,2,47,4,5,1,2019,2,111,7,5,1.0114381177134,"NA",1,1.06505804,"NA"
454,4,4,4,1,5,3,4,2,1,1,1,2,2,2,2,2,2,1,2,2,3,6666,2,2,4,2,5,2,4,1,4,2,10,2,7,3,2,2,2,2,1,1,2,1,2,2,2,3,2,3,4,3,3,3,2,2,2,6666,1,6666,2,2,5,5,4,3,3,4,1100,1100,1400,1500,1300,1100,3,3,3,2,2,3,3,2,2,2,4,4,2,1,6,4,5,7,6,2,3,4,0.230446450924237,0.399848703576988,0.456728401684783,0.401286558877985,1,10,1,1,6,2,6,4,1,1,2,6,1,6,6,6,6,6,11,5,2,6,6,6,1,1,1,5,2,5,6,6,1,1,6,66,3,66,1,3,6,3,2,2,6,6,2,6,66,1,4,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,11,5,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,3,1,2,2,2,2,1,1,2,2,1,1,2,2,2,2,1,2,1,1,1,3,0,3,1,47,4,6,4,2019,5,112,7,0,0.0367217258415959,"0,737615700224596",1,0.035905221,"0,487587258"
455,3,3,3,2,8,4,7777,1,1,1,2,1,1,1,2,1,2,2,1,2,2,3,3,4,3,3,3,2,4,4,4,1,5,4,0,4,4,4,4,4,2,2,2,2,1,1,1,3,3,2,1,3,4,3,1,2,1,1,6666,6666,4,4,5,4,5,2,2,4,900,700,1200,1200,1100,1200,2,3,3,2,2,3,2,4,4,2,4,4,3,4,6,4,2,6,5,2,4,4,0.531553224444206,0.557508013490836,0.620005694807821,0.66236461075851,2,9,1,1,6,2,6,1,3,6,6,66,8,3,6,6,1,6,10,4,6,66,2,6,2,6,66,1,6,66,6,6,6,6,6,66,66,5,6,6,6,2,2,1,1,2,3,2,4,2,2,3,5,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,5,2,1,1,2,1,2,1,2,1,1,2,2,2,1,2,2,2,2,2,5,2,2,2,1,2,2,2,2,2,1,2,1,1,1,2,2,2,1,3,1,1,10,3,5,41,4,666,2,2019,8,111,9,7,0.508484406741823,"NA",1,0.580966932,"NA"
458,5,5,4,2,6,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,4,5,2,5,2,3,2,1,2,3,2,3,5,2,2,2,2,2,2,1,1,2,2,1,2,2,2,3,3,3,2,3,2,2,1,1,6666,6666,3,6,5,5,6,6,5,4,1200,1200,1200,1200,1200,1200,5,3,3,3,3,3,3,2,1,9999,9999,9999,6,3,3,3,5,4,5,3,5,3,0.860946961256049,0.622195099454518,0.497627163407971,0.846308278930036,2,12,1,1,6,2,6,7,3,6,6,66,3,6,3,6,6,6,9,3,6,66,1,6,1,6,66,6,2,66,6,6,1,2,5,6,6,66,11,1,6,1,1,1,2,1,3,2,4,1,4,4,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,6,4,1,2,2,1,2,1,2,4,2,6,6,6,6,6,6,6,6,6,1,4,4,1,2,1,1,1,3,2,2,1,1,2,2,1,1,2,2,1,2,2,2,2,1,61,6,666,1,2019,6,300,0,0,0.221748924601936,"NA",1,0.450428942,"NA"
461,5,5,2,2,5,2,3,2,1,1,2,2,2,2,2,2,2,1,2,2,3,6666,3,3,4,3,4,3,1,3,2,3,4,3,3,3,3,4,4,4,2,1,2,2,2,2,2,3,3,2,4,3,3,3,2,2,3,6666,6666,1,2,3,5,3,4,3,3,4,1300,1300,1400,1300,1900,1400,2,3,2,2,3,3,2,2,4,2,2,9999,3,4,7,4,4,7,4,1,3,5,0.438817268197937,0.482768581538833,0.422922701924955,0.469906929783295,2,12,1,1,6,2,6,4,1,1,2,4,1,6,6,6,6,6,7,2,4,10,6,6,1,1,1,1,2,2,6,6,1,1,6,66,66,5,6,6,6,2,1,1,2,1,2,6,66,1,4,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,9,5,2,1,1,1,3,3,2,5,2,6,6,6,6,6,6,6,6,6,3,2,2,2,2,2,2,2,4,1,1,1,1,2,2,2,1,2,2,1,2,3,5,2,2,41,4,3,3,2019,5,211,4,4,0.41015502537321,"NA",1,0.706087479,"NA"
462,3,3,3,2,8,2,8,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,5,5,2,5,2,4,3,4,2,2,3,3,8,3,3,3,3,3,2,1,2,2,2,2,3,3,3,3,3,3,3,3,9999,2,1,1,6666,6666,1,5,5,4,3,3,3,4,1000,1000,1000,1200,1300,1000,5,3,3,3,3,3,3,2,2,5,5,5,4,2,7,1,4,2,7,1,7,3,0.901750121736834,9999,0.939837244043148,0.961912877693685,2,7,1,1,6,1,2,4,1,1,2,5,1,6,6,6,6,6,9,3,1,1,6,6,1,1,1,5,2,88,6,6,2,2,3,5,6,66,11,3,6,6,4,1,3,4,3,1,5,2,6,3,4,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,1,2,2,10,2,1,1,2,2,2,2,2,3,1,1,2,2,2,2,2,2,2,2,2,2,4,2,2,2,1,2,3,3,1,3,5,1,2,2,2,1,1,4,2,3,3,1,2,54,5,6,4,2019,8,111,6,5,0.0314256182124993,"2,74175337408193",1,0.035905221,"1,716670863"
464,3,3,4,2,2,3,8,2,2,1,2,2,2,1,2,2,2,2,2,1,3,6666,4,4,3,3,3,2,2,3,2,3,1,2,8,4,4,4,4,4,1,2,2,1,2,3,3,4,4,2,2,2,3,4,1,1,3,6666,6666,1,3,2,4,3,4,3,3,3,1200,1300,1100,1500,1500,1300,3,2,2,2,2,3,2,2,2,4,5,4,4,4,4,6,6,4,4,3,3,5,0.577293260593856,0.225870687319057,0.249829430876863,0.324672823661789,2,9,1,1,6,2,6,1,3,6,6,66,77,6,6,6,6,6,11,5,6,66,6,6,7,6,66,66,6,66,6,6,6,6,6,66,66,66,66,6,6,3,1,2,6,6,2,6,66,1,7,3,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,13,9,1,2,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,1,3,1,1,1,4,1,1,2,2,2,1,2,1,2,5,3,5,666,666,666,2,2019,2,111,7,5,0.490320613089267,"NA",1,0.482468521,"NA"
465,5,5,4,2,1,2,3,1,2,2,2,1,1,2,2,2,2,2,1,2,3,6666,4,3,3,3,4,2,1,4,4,3,7,3,5,4,3,3,3,4,2,2,2,2,1,1,2,4,4,2,1,1,2,3,1,1,2,6666,2,6666,3,4,4,4,4,1,1,1,1500,1200,1200,2000,1500,1500,3,2,3,2,2,3,2,5,4,4,3,4,4,5,6,4,5,4,5,1,3,2,0.496942823579255,0.695663956058256,0.698904918718311,0.748821147269931,2,13,1,3,6,2,6,4,1,1,2,7,6,6,6,6,1,6,11,5,5,11,2,1,2,1,6,2,6,5,6,6,6,6,6,66,66,6,8,6,6,2,1,2,6,6,1,6,66,1,5,5,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,13,10,1,1,2,1,2,1,2,4,2,6,6,6,6,6,6,6,6,6,2,2,3,2,1,2,1,2,3,3,3,3,1,2,2,2,1,2,1,3,1,2,8,3,2,32,3,3,3,2019,1,111,10,8,0.480476138962893,"0,504849265008528",1,1.026934498,"1,155591623"
467,2,2,2,1,8,1,7,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,5,5,2,5,2,3,2,1,2,3,0,2,3,4,3,3,3,4,2,2,1,2,2,1,2,3,4,2,1,3,4,2,1,1,2,6666,1,6666,4,4,5,5,3,2,2,5,1200,1200,1400,1400,1800,1300,2,2,2,2,2,2,2,3,2,3,4,3,6,3,7,2,4,5,5,1,5,1,0.893508469307187,0.792896218232935,0.800086797674758,0.899034083562364,1,7,1,1,6,2,6,2,1,2,2,4,1,6,6,6,6,6,6,2,5,11,6,6,1,1,1,5,1,1,6,6,1,1,6,66,1,66,1,3,6,4,3,2,6,6,1,6,66,1,3,3,2,1,2,1,1,1,2,1,2,1,2,1,2,2,2,2,1,2,2,2,2,12,7,1,1,1,2,2,2,2,4,2,6,6,6,6,6,6,6,6,6,4,2,3,2,3,2,2,1,3,3,3,2,1,2,2,2,1,2,1,1,1,3,7,1,2,41,4,4,4,2019,8,112,4,0,3.97161825853876,"NA",1,1.511955869,"NA"
468,5,5,1,2,2,3,5,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,3,4,2,4,3,3,3,4,2,3,1,3,2,4,4,3,3,3,2,1,2,2,2,2,1,3,4,1,1,1,3,2,1,1,3,6666,6666,1,3,2,4,3,3,2,4,2,1200,1100,1200,1200,2200,1200,1,2,3,2,2,2,2,2,3,5,3,2,2,2,5,4,5,5,5,3,5,2,0.660817796411996,0.50131097349524,0.371657051520128,0.528064810764562,2,12,1,1,6,2,6,4,1,1,2,7,6,6,6,6,1,1,5,1,2,6,2,2,2,2,6,9,6,9,2,2,6,6,6,66,66,66,1,6,4,2,1,1,2,1,1,6,66,1,5,5,1,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,9,4,1,1,1,1,2,1,2,3,2,6,6,6,6,6,6,6,6,6,2,2,3,2,3,2,2,2,1,1,1,1,1,2,1,2,2,2,1,2,1,3,7,3,1,10,1,1,3,2019,2,112,8,0,0.617674542576749,"0,627132007710136",1,0.664337321,"1,756060575"
470,4,4,3,1,1,3,4,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,3,4,3,4,4,3,2,1,2,3,2,4,3,4,4,4,4,4,2,2,2,2,1,2,2,2,2,3,2,3,4,2,2,2,2,6666,1,6666,4,2,5,5,3,4,4,4,1400,1300,1200,1500,1500,1400,1,3,3,3,3,3,3,3,9999,4,4,1,4,5,4,2,4,6,5,4,3,2,0.575746446247342,0.598543235669919,0.507342037860843,0.46372586240574,1,11,1,1,6,2,6,4,1,1,2,7,1,6,6,6,6,6,8,3,4,10,6,6,1,1,1,9,6,5,1,6,6,6,6,66,66,66,11,6,6,2,1,2,6,6,3,2,4,2,1,5,5,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,10,6,1,1,1,2,2,2,1,3,2,6,6,6,6,6,6,6,6,6,3,2,3,2,3,2,1,4,4,2,2,2,2,2,2,2,1,2,1,2,2,1,2,3,1,32,3,4,3,2019,1,111,10,8,2.27426701961616,"NA",1,2.60159709,"NA"
476,2,2,1,2,2,1,7777,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,4,5,2,5,2,4,1,1,9999,9999,9999,4,2,9999,9999,9999,9999,9999,2,1,2,2,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,3,6666,6666,9999,9999,4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0.882367141784208,0.790152719295799,0.784966670243116,0.737982442384776,2,7,1,1,6,2,6,3,1,3,9,99,1,6,6,6,6,6,1,1,4,10,6,6,1,7,77,88,6,66,6,6,6,6,6,66,66,66,88,6,6,3,2,2,6,6,8,6,66,1,4,9,1,2,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,77,99,3,3,3,3,3,3,2,3,2,6,6,6,6,6,6,6,6,6,7,8,3,7,7,2,7,8,8,1,1,1,8,9,1,2,2,2,2,1,2,4,77,2,5,56,5,666,4,2019,2,221,1,2,6.44332800050667,"NA",1,2.003567803,"NA"
479,4,4,2,2,6,2,5,2,2,2,1,2,2,2,2,2,2,2,2,1,3,6666,4,5,1,5,1,3,1,1,2,3,0,3,0,4,4,4,4,4,2,1,2,1,2,1,2,2,1,1,1,3,1,4,1,1,3,6666,6666,1,4,1,5,3,5,1,1,4,1200,1200,1400,1400,1200,1300,2,2,3,2,2,3,2,4,4,2,2,5,7,3,6,2,4,5,7,3,6,4,0.932839783322191,0.950331014551198,0.965401291373329,0.986821471901488,2,11,1,1,6,2,6,4,1,1,2,7,1,6,6,6,6,6,7,2,1,1,6,6,1,1,1,5,2,5,6,6,1,2,3,1,6,66,6,3,6,2,1,2,6,6,1,6,66,1,7,4,1,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,10,6,1,1,1,2,2,2,1,4,2,6,6,6,6,6,6,6,6,6,2,2,4,2,1,1,1,1,4,2,2,2,4,2,2,2,1,2,1,1,1,4,5,2,4,54,5,6,3,2019,6,112,9,1,0.88779608714348,"NA",1,0.958908918,"NA"
484,3,3,3,1,6,2,9,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,3,5,4,5,3,3,2,1,2,3,2,2,2,4,3,2,2,3,2,2,2,1,2,2,3,3,4,3,2,3,3,3,1,1,2,6666,1,6666,2,3,4,3,3,2,2,4,1300,1300,1300,1600,2000,1400,3,2,2,2,1,2,3,4,9999,9999,4,2,4,2,5,2,5,5,6,2,2,2,0.683151347083405,0.53388975524443,0.551642553144662,0.551642553144662,1,8,1,1,6,2,6,4,1,1,2,6,1,6,6,6,6,6,9,3,4,10,6,6,1,1,1,9,6,6,2,6,6,6,6,66,66,66,11,6,6,5,4,1,3,4,2,6,66,1,9,3,1,2,2,2,1,2,2,1,2,2,2,1,1,2,2,2,1,2,2,2,2,11,3,1,1,1,1,1,1,1,3,2,6,6,6,6,6,6,6,6,6,2,2,3,1,1,2,2,1,1,2,2,1,2,2,2,2,2,1,1,1,1,2,7,3,3,20,2,5,4,2019,6,400,0,0,0.851282250506279,"NA",1,0.735060016,"NA"
485,4,4,3,2,8,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,5,5,2,5,2,3,2,3,2,2,0,3,5,4,4,4,4,4,2,2,2,2,1,2,3,2,1,3,4,3,3,4,2,2,2,6666,1,6666,2,3,5,4,3,3,4,3,1100,1000,1000,1200,1500,1100,3,3,3,3,3,3,3,4,4,3,9999,4,4,3,5,2,7,7,5,4,5,3,0.880329941208675,0.582118707631103,0.682453939458966,0.676928325203789,2,11,1,1,6,2,6,1,3,6,6,66,1,6,6,6,6,6,8,3,6,66,6,6,1,6,66,5,1,66,6,6,1,1,6,66,4,66,1,4,6,2,2,1,1,2,2,6,66,2,2,4,3,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,10,6,1,1,1,1,2,2,2,3,2,6,6,6,6,6,6,6,6,6,2,2,3,1,2,2,1,1,2,3,2,2,3,2,2,2,1,2,1,1,1,1,4,2,2,46,4,666,2,2019,8,111,6,5,0.403070586882443,"NA",1,0.579826543,"NA"
486,3,3,2,2,1,2,1,2,1,2,1,2,2,2,2,2,2,1,2,2,3,6666,4,4,4,4,4,2,2,4,2,2,4,3,0,4,4,4,4,4,2,2,2,2,1,3,2,4,1,2,2,3,2,3,1,1,2,6666,1,6666,3,6,6,6,6,6,6,6,1600,1600,1600,1600,2000,1600,1,3,2,2,2,3,2,9999,2,3,5,5,4,4,4,3,7,5,5,4,1,4,0.553082074010493,0.712265806936898,0.591715980401058,0.710743653865729,2,9,1,1,6,2,6,1,3,6,6,66,7,2,6,6,1,6,7,2,6,66,2,6,2,6,66,4,6,66,6,6,6,6,6,66,66,88,11,6,6,6,4,2,6,6,3,1,5,2,9,4,4,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,6,1,2,1,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,1,1,2,2,4,2,2,1,2,2,2,1,4,2,2,2,1,2,2,3,2,4,5,3,5,55,5,666,2,2019,1,111,10,8,1.36926136104626,"1,81908635500192",1,1.235985644,"1,241443972"
488,5,5,3,1,6,2,3,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,4,4,2,4,2,4,2,4,4,3,5,3,0,2,2,2,2,2,2,1,1,2,2,2,2,3,3,2,2,3,3,3,1,1,3,6666,6666,1,3,2,4,4,3,2,2,5,1200,1200,1300,1400,2100,1300,5,3,3,3,3,3,3,9999,2,2,4,2,4,4,5,3,4,5,5,2,5,4,0.766065135396119,0.792171196621714,0.898818121043553,0.887892756039385,1,12,1,1,6,2,6,4,1,1,2,7,6,6,6,6,1,6,10,4,2,7,2,6,2,1,1,4,6,6,6,6,6,6,6,66,66,6,1,6,6,2,1,1,3,1,1,6,66,1,6,5,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1,2,13,10,1,1,1,1,1,1,1,5,2,6,6,6,6,6,6,6,6,6,2,3,4,1,1,1,1,1,3,3,2,2,1,2,2,1,1,2,2,1,1,1,5,1,1,36,3,5,3,2019,6,111,9,7,0.493861677643637,"NA",1,0.852652382,"NA"
491,5,5,3,2,5,2,4,2,2,1,2,2,2,2,2,2,2,1,2,2,3,6666,4,4,2,3,2,2,6,1,2,2,3,2,6,3,3,2,3,3,2,1,2,2,2,1,1,1,2,3,3,4,2,3,2,2,3,6666,6666,1,2,3,5,5,3,4,5,5,1200,1200,1200,1400,1500,1300,3,3,3,3,3,3,3,3,2,2,4,5,3,2,5,3,5,5,5,4,4,2,0.675543138857022,0.526705320185703,0.568835645645398,0.489289909735921,2,12,2,3,6,1,2,5,3,6,6,66,1,6,6,6,6,6,8,3,6,66,6,6,1,6,66,9,6,66,1,6,6,6,6,66,66,66,11,6,6,1,1,1,3,1,3,2,4,2,2,3,3,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,4,2,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,2,4,3,2,2,2,1,1,2,2,2,1,1,1,1,2,3,3,3,46,4,666,1,2019,5,111,7,5,0.296798023052441,"NA",2,0.496993071,"NA"
493,2,2,1,1,1,1,7,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,5,5,2,5,2,3,6,4,2,2,1,3,1,3,3,2,2,3,2,1,2,2,2,1,2,2,3,1,3,4,3,1,2,1,1,1,6666,6666,2,4,5,5,5,3,3,3,1000,1500,1400,1500,1300,1300,5,3,3,2,2,3,3,5,2,4,5,5,5,3,5,2,6,6,7,2,6,2,0.893508469307187,0.863284090494709,0.882367141784208,0.836627105634558,1,7,3,3,9,2,6,1,1,3,1,1,1,6,6,6,6,6,6,2,1,1,6,6,1,1,1,9,6,6,1,6,6,6,6,66,66,66,4,6,6,3,2,2,6,6,3,1,5,2,2,1,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,2,1,2,2,2,2,2,2,3,2,6,6,6,6,6,6,6,6,6,1,2,4,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,1,3,1,2,3,2,2,66,6,5,4,2019,1,111,10,8,1.37021001906416,"9,95442681825986",3,0.437420209,"1,274300925"
494,1,1,3,2,5,2,3,1,2,2,2,1,2,2,2,2,2,1,2,2,3,6666,4,5,2,5,2,3,2,4,2,2,3,2,5,3,3,3,3,3,1,2,2,2,1,3,2,2,3,3,4,3,3,2,1,2,1,1,6666,6666,3,3,5,5,4,3,3,3,1500,1500,1500,1700,2000,1500,1,2,2,2,2,3,3,2,2,4,2,2,2,2,7,5,7,7,6,5,6,3,0.847768433157537,0.510781300162522,0.759765082299602,0.651223283235531,2,4,1,1,6,2,6,1,3,6,6,66,5,6,6,6,6,6,10,4,6,66,2,6,2,6,66,66,6,66,6,6,6,6,6,66,66,66,66,6,6,4,1,2,6,6,5,6,66,1,6,4,1,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,1,2,2,2,10,3,2,1,3,1,3,2,2,3,2,6,6,6,6,6,6,6,6,6,1,2,3,2,4,2,2,1,2,4,2,2,4,1,2,2,1,1,2,2,1,3,3,3,5,666,666,666,5,2019,5,120,0,0,3.71931285523506,"NA",1,1.026546855,"NA"
495,4,4,2,1,2,2,9,2,2,2,2,2,2,2,2,2,1,2,2,1,3,6666,5,5,2,5,2,3,1,1,1,1,5,4,5,2,2,2,2,2,2,1,2,2,2,3,2,4,3,4,1,4,2,4,1,1,2,6666,2,6666,3,1,5,5,4,4,4,4,1300,1250,1800,2350,1650,1200,5,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,4,5,4,0.880329941208675,0.675762327333672,0.556450126413729,9999,1,11,1,9,6,2,6,4,1,1,2,7,1,6,6,6,6,6,6,2,2,6,6,6,1,7,77,6,2,66,6,6,1,1,6,66,1,66,1,3,6,3,1,2,6,6,3,2,4,1,3,1,2,2,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,77,99,3,3,3,3,3,3,2,99,9,6,6,6,6,6,6,6,6,6,7,8,7,2,7,7,7,8,2,1,1,1,3,9,1,2,2,2,1,1,1,3,5,2,3,61,6,666,4,2019,2,120,0,1,1.93962693671286,"NA",1,1.545595262,"NA"
496,4,4,2,2,2,2,7777,2,1,2,2,2,2,2,2,2,2,1,2,2,3,6666,5,5,2,5,2,3,1,2,1,2,5,3,5,3,3,3,4,4,2,1,1,2,2,2,2,2,2,2,2,2,3,3,2,1,2,6666,1,6666,3,2,4,4,5,3,5,4,1300,1200,1300,1300,1400,1300,2,3,3,3,3,3,3,9999,4,9999,9999,9999,4,4,5,4,4,5,5,4,5,4,0.880329941208675,0.776147790006857,9999,0.636800563428329,2,10,1,1,6,2,6,5,2,3,2,2,1,6,6,6,6,6,7,2,2,6,6,6,1,1,1,4,2,5,6,6,1,1,6,66,66,6,11,6,6,2,1,2,6,6,2,6,66,1,5,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,7,3,1,1,2,2,1,2,2,2,2,6,6,6,6,6,6,6,6,6,2,2,3,2,2,2,2,1,3,2,1,1,4,2,2,2,1,2,2,1,2,4,5,3,5,51,5,6,3,2019,2,111,8,7,0.0617677602653008,"0,398435866459612",1,0.064620083,"0,590031934"
